Electrical conductivity (mostly) in ohm-1 * cm-1

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
CaBr2-CdCl2,0-100 CaBr2,I4,1023,,,65.69,-0.09174,-0.01041,1.963E-4,-1.038E-8,UNITS of k are: ohm-1 cm+2 mol-1 (MOLAR CONDUCTANCE).,
CaBr2-KCl,100-0 CaBr2,I3,1023,,,100.82,-2.348,0.0296,-1.1697E-4,,UNITS of k are: ohm-1 cm+2 mol-1 (MOLAR CONDUCTANCE).,
CaCl2,100,+E,1060,1291,2.5%,19.628,-19870.15,,,,,
CaCl2-CsCl,20-80,+E,1023,1273,,6.918,-16660.13,,,,,
CaCl2-CsCl,40-60,+E,1173,1273,,5.118,-15267.67,,,,,
CaCl2-CsCl,50-50,+E,1223,1273,,5.168,-15180.64,,,,,
CaCl2-CsCl,60-40,+E,1173,1273,,6.743,-17301.13,,,,,
CaCl2-CsCl,80-20,+E,1023,1273,,9.469,-17424.14,,,,,
CaCl2-KBr,0-100 KBr,I3,1023,,,50.38,-0.3059,-9.245E-4,8.3314E-5,,UNITS of k are: ohm-1 cm+2 mol-1 (MOLAR CONDUCTANCE).,
CaCl2-KCl,0-100,+E,1080,1140,,7.542,-10882.35,,,,"For 100% KCl, the departures from the recommended data set are: 1080 K, -0.5%,1140 K, -0.04%.",
CaCl2-KCl,20-80,+E,1000,1050,,12.725,-18081.04,,,,,
CaCl2-KCl,40-60,+E,1080,1110,,10.968,-18090.25,,,,,
CaCl2-KCl,60-40,+E,1010,1050,,15.197,-20983.53,,,,,
CaCl2-KCl,80-20,+E,1060,1100,,15.139,-19849.23,,,,,
CaCl2-KCl,100-0,+E,1100,1170,,14.058,-16999.04,,,,"For 100% CaCl2, the departures from the recommended data set are: 1080 K, -1.4%, 1170 K, -3.8%.",
CaCl2-LiCl,0-100 CaCl2,I3,1073,,,6.5931,-0.096139,6.4119E-4,-1.2606E-6,,"For 100% CaCl2 and 100% LiCl at 1073 K, the departures from the recommended data sets are, respectively, +0.64% and -0.45%.",
CaCl2-MgCl2,0-100,+E,1020,1080,,10.193,-19089.82,,,,"For 100% MgCl2, the departures from the recommended data set are: 1020 K, -1.1%, 1080 K, +1.4%.",
CaCl2-MgCl2,20-80,+E,1000,1050,,7.812,-13709.11,,,,,
CaCl2-MgCl2,40-60,+E,980,1040,,11.46,-15654.7,,,,,
CaCl2-MgCl2,60-40,+E,1000,1050,,6.449,-10517.92,,,,,
CaCl2-MgCl2,80-20,+E,1050,1090,,26.585,-22438.33,,,,,
CaCl2-MgCl2,100-0,+E,1100,1170,,14.058,-16999.04,,,,"For 100% CaCl2, the departures from the recommended data set are: 1080 K, -1.4%, 1170 K, -3.8%.",
CaCl2-NaCl,0-100,+E,1090,1170,,8.198,-7293.67,,,,"For 100% NaCl, the departures from the recommended data set are: 1090 K, +1.0%, 1170 K, +0.9%.",
CaCl2-NaCl,11.5-88.5,+E,1060,1080,,7.61,-8069.82,,,,,
CaCl2-NaCl,26.4-73.6,+E,980,1080,,12.129,-13831.28,,,,,
CaCl2-NaCl,48.2-51.8,+E,830,1080,,19.031,-19042.12,,,,,
CaCl2-NaCl,66.7-33.3,+E,970,1070,,19.203,-19732.91,,,,,
CaCl2-NaCl,100-0,+E,1080,1130,,21.218,-20593.99,,,,"For 100% CaCl2, the departures from the recommended data set are: 1080 K, -0.26%, 1130 K, +0.86%.",
CaCl2-PrCl3,0-100,+E,1071,1262,,14.69999,-24198.07,,,,"For 100% PrCl3, the results have been advanced as the recommended data set.",
CaCl2-PrCl3,25.1-74.9,+E,1019,1254,,13.51362,-22039.88,,,,,
CaCl2-PrCl3,35.2-64.8,+E,1001,1272,,15.67959,-22702.18,,,,,
CaCl2-PrCl3,50.3-49.7,+E,937,1265,,19.9979,-24167.98,,,,,
CaCl2-PrCl3,62.5-37.5,+E,979,1269,,18.63543,-22545.57,,,,,
CaCl2-PrCl3,74.2-25.8,+E,977,1269,,18.34112,-21646.5,,,,,
CaCl2-PrCl3,87.3-12.7,+E,1051,1256,,15.5015,-19053.84,,,,,
CaCl2-PrCl3,100-0,+E,1073,1250,,14.57292,-17489.45,,,,"For 100% CaCl2, the departures from the recommended data set are: 1080 K -3.4%, 1250 K -6.5%",
CaCl2-RbCl,0-100,+E,1073,1173,,6.984,-12195.31,,,,"For 100% RbCl, the departures from the recommended data set are: 1080 K, +3.5%, 1170 K, +1.6%.",
CaCl2-RbCl,10-90,+E,1073,1173,,8.421,-15157.21,,,,,
CaCl2-RbCl,20-80,+E,1073,1173,,9.151,-17007.83,,,,,
CaCl2-RbCl,30-70,DP,,,,1.49,1173K,,,,,
CaCl2-RbCl,40-60,DP,,,,1.4,1173K,,,,,
CaCl2-RbCl,50-50,DP,,,,1.38,1173K,,,,,
CaCl2-RbCl,60-40,DP,,,,1.4,1173K,,,,,
CaCl2-RbCl,70-30,+E,1073,1173,,4.997,-11480.25,,,,,
CaCl2-RbCl,80-20,+E,1073,1173,,7.376,-13974.38,,,,,
CaCl2-RbCl,90-10,+E,1073,1173,,8.276,-13609.94,,,,,
CaCl2-RbCl,100-0,+E,1073,1173,,11.086,-14842.99,,,,"For 100% CaCl2, the departures from the recommended data set are: 1080 K, -1.1%, 1170 K, +1.8%.",
CaCl2-SrCl2,0-100,+E,1180,1320,,12.084,-17617.45,,,,"For 100% SrCl2, the departures from the recommended data set are: 1180 K, -5.4%, 1320 K, -8.7%.",
CaCl2-SrCl2,58.8-41.2,+E,1180,1320,,10.031,-14842.15,,,,,
CaCl2-SrCl2,100-0,+E,1180,1320,,10.847,-14940.48,,,,"For 100% CaCl2, the departures from the recommended data set are: 1180 K, -8.2%, 1300 K, -12.8%.",
CaCrO4-KCl-LiCl,7.3-19.0-73.7,+E,760,970,,10.3803,-20221.61,,,,,
CaCrO4-KCl-LiCl,8.2-47.6-44.2,+E,760,970,,15.9493,-22127.87,,,,,
CaCrO4-KCl-LiCl,9.1-57.3-33.6,+E,820,970,,22.0244,-29132.84,,,,,
CaCrO4-KCl-LiCl,10.6-36.6-52.8,+E,820,970,,5.99566,-18362.63,,,,,
CaCrO4-KCl-LiCl,11.0-7.7-81.3,+E,820,970,,7.09648,-13963.92,,,,,
CaCrO4-LiCl,6.36-93.64,+E,860,970,,6.6534,-8261.03,,,,,
CaF2,100,+E,1690,1850,1.5%,16.89932,-14194.2,,,,"CaF2: Recommended data, shift from previous evaluation.",
CaF2-CaO,46.7-53.3,+E,1720,1960,,99.0338,-49175.37,,,,,
CaF2-CaO,62.6-37.4,+E,1720,1960,,117.926,-48719.31,,,,,
CaF2-CaO,80.3-19.7,+E,1720,1960,,343.246,-16390.26,,,,,
CaF2-CaO,93.2-6.8,+E,1720,1960,,66.8413,-38214.37,,,,,
CaF2-CaO,96.6-3.4,+E,1720,1960,,34.883,-27213.61,,,,,
CaF2-LiF,0.0-100.0,+E,1150,1340,,20.471,-7768.14,,,,"For 100% LiF, the departures from the recommended data set are: 1150 K, +4.2%,1320 K, +7.8%.",
CaF2-LiF,7.0-93.0,+E,1130,1340,,19.474,-8150.99,,,,,
CaF2-LiF,14.0-86.0,+E,1090,1340,,22.01,-11237.58,,,,,
CaF2-LiF,20.0-80.0,+E,1090,1340,,25.06,-12118.74,,,,,
CaF2-LiF,30.0-70.0,+E,1160,1340,,19.399,-10911.64,,,,,
CaF2-MgF2,0-100,+E,1528,1879,,13.8212,-15102.60,,,,"For 100% MgF2, the accuracy is: about 3%. New system.",
CaF2-MgF2,30-70,+E,1724,1819,,14.84693,-16719.02,,,,,
CaF2-MgF2,50-50,+E,1723,1827,,14.48595,-16579.67,,,,,
CaF2-MgF2,70-30,+E,1728,1815,,14.50646,-15189.71,,,,,
CaF2-MgF2,100-0,+E,1693,1853,,15.68204,-13238.82,,,,"For 100% CaF2, the accuracy is: about 3%. New system.",
CaF2-MgO,68.8-31.2,+E,1670,1950,,109.855,-45091.72,,,,,
CaF2-MgO,100-0,DP,,,,6.81,1973K,,,,"For 100% CaF2 at 1973 K, the departure from the recommeded data set is +0.15%.",
CaF2-NaF,51.8-48.2,+E,1180,1360,,17.813,-12760.58,,,,,
CaF2-Na3AlF6,0-100,+E,1270,1350,,8.896,-12238.82,,,,"For 100% Na3AlF6, the results have been advanced as the recommended data set.",
CaF2-Na3AlF6,12.3-87.7,+E,1270,1350,,9.6206,-13304.51,,,,,
CaF2-Na3AlF6,23.0-77.0,+E,1270,1350,,9.77672,-13692.79,,,,,
CaF2-Na3AlF6,32.3-67.7,+E,1270,1350,,9.67876,-13678.14,,,,,
CaF2-SrF2,30-70,+E,1744,1851,,13.98717,-12919.67,,,,,
CaF2-SrF2,50-50,+E,1733,1820,,14.99463,-13607.45,,,,,
CaF2-SrF2,70-30,+E,1728,1798,,14.37298,-12424.57,,,,"For 100% CaF2 and 100% SrF2, the accuracies are: about 3%. New system.",
CaF2-TiO2,80-20,P2,1470,1870,,-92.214,0.110266,-3.114E-5,,,,
CaF2-TiO2,95-5,P2,1470,1870,,-107.518,0.12866,-3.665E-5,,,,
CaF2-V2O5,93-7,+E,1670,1870,,14.4582,-5655.61,,,,,
CaF2-V2O5,98-2,P2,1470,1590,,224.209,-0.30798,1.0656E-4,,,,
CaF2-V2O5,98-2,P2,1600,1870,,-119.657,0.14138,-3.921E-5,,,,
CaF2-ZrO2,89.87-10.13,+E,1670,1990,,162.302,-54016.34,,,,,
CaI2,100,+E,1059,1287,2%,7.843,-16912.01,,,,,
CaO,100,DP,,,,40,2853K,,,,The conductivity is at the m.pt. and is probably not reliable to better than +/- 50%.,
CaO-KOH-K2CO3,5.1-93.2-1.7,+E,680,860,,9.40357,-8793.24,,,,,
CaO-KOH-K2CO3,10.2-88.1-1.7,+E,680,860,,8.48049,-9060.6,,,,,
CaO-NaOH-Na2CO3,1.6-96.3-2.1,+E,780,860,,14.0613,-10022.1,,,,,
CaSb2O4-Sb2O3,15-0 CaSb2O4,I2,1033,,,0.0443,0.005402,-3.97E-4,,,"For 100% Sb2O3 at 1033 K, the departure from the recommended data set is +0.3%.",
CaSb2O6-Sb2O3,15-0 CaSb2O6,I1,1033,,,0.0446,-8.227E-4,,,,"For 100% Sb2O3 at 1033 K, the departure from the recommended data set is +0.3%.",
Ca4Sb8O23-Sb2O3,15-0 Ca4Sb8O23,I2,1033,,,0.05,2.871E-4,-6.89E-5,,,"For 100% Sb2O3 at 1033 K, the departure from the recommended data set is +0.3%.",
Cd(NO3)2-CsNO3,21.2-78.8,+E,550,590,,15.843,-19552.16,,,,,
Cd(NO3)2-CsNO3,23.1-76.9,+E,510,590,,16.95,-19974.75,,,,,
Cd(NO3)2-CsNO3,25-75,+E,490,590,,21.248,-21087.71,,,,,
Cd(NO3)2-CsNO3,27-73,+E,470,590,,27.233,-22317.83,,,,,
Cd(NO3)2-CsNO3,29-71,+E,450,590,,37.964,-23824.09,,,,,
Cd(NO3)2-CsNO3,31.1-68.9,+E,450,590,,36.311,-23677.65,,,,,
Cd(NO3)2-CsNO3,33.3-66.7,+E,450,590,,36.583,-23752.97,,,,,
Cd(NO3)2-CsNO3,35.6-64.4,+E,450,590,,38.351,-24020.75,,,,,
Cd(NO3)2-CsNO3,37.9-62.1,+E,450,590,,43.343,-24663.84,,,,,
Cd(NO3)2-CsNO3,40.4-59.6,+E,430,590,,74.98,-27221.56,,,,,
Cd(NO3)2-CsNO3,42.9-57.1,+E,430,590,,106.16,-28886.82,,,,,
Cd(NO3)2-CsNO3,48.1-51.9,+E,470,590,,72.797,-27514.44,,,,,
Cd(NO3)2-CsNO3,53.8-46.2,+E,510,590,,58.677,-26974.7,,,,,
Cd(NO3)2-CsNO3,60-40,+E,550,590,,58.669,-27497.71,,,,,
Cd(NO3)2-CsNO3,66.7-33.3,+E,570,590,,111.,-31393.08,,,,,
Cd(NO3)2-KNO3,5.3-94.7,DP,,,,0.56,593.2K,,,,,
Cd(NO3)2-KNO3,11.2-88.8,+E,573,593,,30.749,-20029.14,,,,,
Cd(NO3)2-KNO3,14.3-85.7,+E,553,593,,20.304,-18171.42,,,,,
Cd(NO3)2-KNO3,17.7-82.3,+E,533,593,,16.587,-17351.34,,,,,
Cd(NO3)2-KNO3,21.3-78.7,+E,493,593,,28.998,-20263.45,,,,,
Cd(NO3)2-KNO3,25.0-75.0,+E,453,593,,61.096,-23924.51,,,,,
Cd(NO3)2-KNO3,27.0-73.0,+E,473,593,,49.333,-23045.86,,,,,
Cd(NO3)2-KNO3,29.1-70.9,+E,453,593,,66.412,-24585.6,,,,,
Cd(NO3)2-KNO3,31.2-68.8,+E,493,593,,40.2,-22418.25,,,,,
Cd(NO3)2-KNO3,33.4-66.6,+E,473,593,,51.822,-23773.89,,,,,
Cd(NO3)2-KNO3,35.2-64.8,+E,473,593,,57.977,-24451.71,,,,,
Cd(NO3)2-KNO3,38.0-62.0,+E,453,593,,94.14,-26849.18,,,,,
Cd(NO3)2-KNO3,40.4-59.6,+E,473,593,,100.02,-27388.92,,,,,
Cd(NO3)2-KNO3,42.9-57.1,+E,453,593,,240.02,-31629.48,,,,,
Cd(NO3)2-KNO3,45.0-55.0,+E,453,593,,325.84,-33278.42,,,,,
Cd(NO3)2-KNO3,48.2-51.8,+E,453,593,,453.19,-35104.35,,,,,
Cd(NO3)2-KNO3,51.0-49.0,+E,453,593,,492.01,-36020.66,,,,,
Cd(NO3)2-KNO3,53.9-46.1,P2,453.2,593.2,,0.8327,-0.004559,6.115E-6,,,,
Cd(NO3)2-KNO3,60.0-40.0,P2,453.2,593.2,,1.027,-0.005167,6.447E-6,,,,
Cd(NO3)2-LiNO3,0-100,+E,540,590,,49.484,-18280.2,,,,"For 100% LiNO3, the departures from the recommended data set are: 550 K, -2.4%, 590 K, +3.7%.",
Cd(NO3)2-LiNO3,5.3-94.7,+E,540,590,,66.696,-21045.87,,,,,
Cd(NO3)2-LiNO3,11.1-88.9,+E,540,590,,53.167,-20830.81,,,,,
Cd(NO3)2-LiNO3,14.3-85.7,+E,520,590,,41.979,-20096.09,,,,,
Cd(NO3)2-LiNO3,17.6-82.4,+E,520,590,,61.961,-22422.43,,,,,
Cd(NO3)2-LiNO3,21.2-78.8,+E,520,590,,65.013,-23035.82,,,,,
Cd(NO3)2-LiNO3,25.0-75.0,+E,500,590,,91.914,-24952.12,,,,,
Cd(NO3)2-LiNO3,27.0-73.0,+E,500,590,,105.45,-25839.98,,,,,
Cd(NO3)2-LiNO3,29.0-71.0,+E,500,590,,133.12,-27288.5,,,,,
Cd(NO3)2-LiNO3,31.1-68.9,+E,480,590,,186.2,-29145.39,,,,,
Cd(NO3)2-LiNO3,33.3-66.7,+E,480,590,,269.74,-31284.29,,,,,
Cd(NO3)2-LiNO3,35.1-64.9,+E,480,590,,409.32,-33497.66,,,,,
Cd(NO3)2-LiNO3,36.5-63.5,+E,480,590,,472.71,-34330.29,,,,,
Cd(NO3)2-LiNO3,37.9-62.1,+E,500,590,,426.,-34288.45,,,,,
Cd(NO3)2-LiNO3,40.4-59.6,+E,510,590,,363.56,-33736.16,,,,,
Cd(NO3)2-LiNO3,42.9-57.1,+E,540,590,,385.52,-34367.95,,,,,
Cd(NO3)2-LiNO3,45.4-54.4,+E,540,590,,389.9,-34824.01,,,,,
Cd(NO3)2-LiNO3,48.1-51.9,+E,580,590,,2718.7,-44521.43,,,,,
Cd(NO3)2-LiNO3,53.8-46.2,+E,580,590,,1196.8,-41244.47,,,,,
Cd(NO3)2-NaNO3,11.1-88.9,+E,553,593,,17.562,-15228.76,,,,,
Cd(NO3)2-NaNO3,17.6-82.4,+E,533,593,,27.097,-18065.56,,,,,
Cd(NO3)2-NaNO3,21.2-78.8,+E,533,593,,38.739,-20154.67,,,,,
Cd(NO3)2-NaNO3,25.0-75.0,+E,513,593,,41.016,-20830.81,,,,,
Cd(NO3)2-NaNO3,27.0-73.0,+E,513,593,,43.718,-21414.91,,,,,
Cd(NO3)2-NaNO3,29.0-71.0,+E,513,573,,49.976,-22338.75,,,,,
Cd(NO3)2-NaNO3,31.1-68.9,+E,493,593,,86.836,-25167.18,,,,,
Cd(NO3)2-NaNO3,33.3-66.7,+E,473,593,,144.24,-27932.85,,,,,
Cd(NO3)2-NaNO3,35.6-64.4,+E,453,593,,297.8,-31552.07,,,,,
Cd(NO3)2-NaNO3,37.9-62.1,+E,453,593,,310.4,-32037.42,,,,,
Cd(NO3)2-NaNO3,40.4-59.6,P2,453.2,593.2,,-0.2086,-9.469E-4,3.305E-6,,,,
Cd(NO3)2-NaNO3,42.9-57.1,+E,453,593,,403.55,-33902.26,,,,,
Cd(NO3)2-NaNO3,45.5-54.5,P2,453.2,593.2,,0.3466,-0.002992,5.049E-6,,,,
Cd(NO3)2-NaNO3,47.1-52.9,P2,453.2,593.2,,0.4227,-0.003253,5.244E-6,,,,
Cd(NO3)2-NaNO3,49.3-50.7,P2,453.2,593.2,,0.5952,-0.00388,5.767E-6,,,,
Cd(NO3)2-NaNO3,50.9-49.1,P2,453.2,593.2,,0.5426,-0.003637,5.468E-6,,,,
Cd(NO3)2-NaNO3,53.8-46.2,P2,473.2,593.2,,0.8761,-0.0049,6.573E-6,,,,
Cd(NO3)2-NaNO3,60.0-40.0,+E,533,593,,449.76,-36966.26,,,,,
Cd(NO3)2-RbNO3,0-100,DP,,,,0.438,593.2K,,,,"For 100% RbNO3 at 593.2 K, the departure from the recommended data set is +5.0%.",
Cd(NO3)2-RbNO3,5.3-94.7,+E,553,593,,669.95,-35299.32,,,,,
Cd(NO3)2-RbNO3,11.2-88.8,+E,513,593,,29.178,-21165.12,,,,,
Cd(NO3)2-RbNO3,17.7-82.3,+E,453,593,,50.516,-23895.22,,,,,
Cd(NO3)2-RbNO3,21.3-78.7,+E,453,593,,53.717,-24351.29,,,,,
Cd(NO3)2-RbNO3,23.1-76.9,+E,453,593,,52.192,-24322.,,,,,
Cd(NO3)2-RbNO3,25.0-75.0,+E,453,593,,56.666,-24761.33,,,,,
Cd(NO3)2-RbNO3,27.0-73.0,+E,453,593,,65.005,-25416.13,,,,,
Cd(NO3)2-RbNO3,29.1-70.9,+E,453,593,,82.617,-26556.29,,,,,
Cd(NO3)2-RbNO3,31.2-68.8,+E,453,593,,79.803,-26529.1,,,,,
Cd(NO3)2-RbNO3,33.4-66.6,+E,453,593,,73.291,-26258.39,,,,,
Cd(NO3)2-RbNO3,35.6-64.4,+E,453,593,,85.819,-27070.93,,,,,
Cd(NO3)2-RbNO3,38.0-62.0,+E,453,593,,76.972,-26634.12,,,,,
Cd(NO3)2-RbNO3,40.4-59.6,+E,453,593,,96.334,-27914.44,,,,,
Cd(NO3)2-RbNO3,42.9-57.1,+E,453,593,,113.86,-28863.81,,,,,
Cd(NO3)2-RbNO3,45.5-54.5,+E,493,593,,53.254,-25556.3,,,,,
Cd(NO3)2-RbNO3,48.2-51.8,+E,513,593,,51.874,-25617.39,,,,,
Cd(NO3)2-RbNO3,51.0-49.0,+E,533,593,,69.386,-27395.62,,,,,
Cd(NO3)2-RbNO3,53.9-46.1,+E,553,593,,50.37,-26104.41,,,,,
Cd(NO3)2-RbNO3,60.0-40.0,+E,573,593,,82.012,-29070.08,,,,,
Cd(NO3)2-RbNO3,66.7-33.3,DP,,,,0.199,593.2K,,,,,
Cd(NO3)2-TlNO3,0-100,+E,490,570,,7.7826,-12203.68,,,,"For 100% TlNO3, the departures from the recommended data set are: 490 K, +4.4%, 560 K, +1.3%.",
Cd(NO3)2-TlNO3,5.3-94.7,+E,460,570,,8.9176,-13096.14,,,,,
Cd(NO3)2-TlNO3,8.1-91.9,+E,460,570,,11.073,-14201.99,,,,,
Cd(NO3)2-TlNO3,11.1-88.9,+E,440,570,,11.459,-14493.62,,,,,
Cd(NO3)2-TlNO3,14.3-85.7,+E,430,570,,16.003,-16175.61,,,,,
Cd(NO3)2-TlNO3,17.6-82.4,+E,400,570,,20.02,-17338.79,,,,,
Cd(NO3)2-TlNO3,21.2-78.8,+E,400,570,,24.891,-18535.43,,,,,
Cd(NO3)2-TlNO3,23.1-76.9,+E,400,530,,37.918,-20280.19,,,,,
Cd(NO3)2-TlNO3,25-75,+E,430,570,,20.668,-17959.7,,,,,
Cd(NO3)2-TlNO3,27-73,+E,430,570,,22.657,-18499.87,,,,,
Cd(NO3)2-TlNO3,29-71,+E,430,570,,24.024,-18919.11,,,,,
Cd(NO3)2-TlNO3,31.1-68.9,+E,390,570,,25.745,-19483.12,,,,,
Cd(NO3)2-TlNO3,33.3-66.7,+E,440,570,,29.436,-20339.18,,,,,
Cd(NO3)2-TlNO3,35.6-64.4,+E,430,570,,47.393,-22644.19,,,,,
Cd(NO3)2-TlNO3,37.9-62.1,+E,470,570,,28.761,-20614.91,,,,,
Cd(NO3)2-TlNO3,40.4-59.6,+E,470,570,,34.945,-21719.51,,,,,
Cd(NO3)2-TlNO3,42.9-57.1,+E,490,570,,32.887,-21694.4,,,,,
Cd(NO3)2-TlNO3,48.1-51.9,+E,510,570,,46.041,-23840.83,,,,,
Cd(NO3)2-TlNO3,53.8-46.2,+E,550,570,,32.21,-22943.77,,,,,
Cd(PO3)2,100,+E,1190,1270,,1003.04,-99911.41,,,,,
CdBr2,100,+E,849,1055,1.5%,5.488,-11502.01,,,,,
CdBr2-CdCl2,0-100,+E,873,913,,6.724,-9001.61,,,,"For 100% CdCl2, the departures from the recommended data set are: 870 K, -0.34%, 910 K, -0.14%.",
CdBr2-CdCl2,10-90,+E,873,913,,9.884,-12281.92,,,,,
CdBr2-CdCl2,20-80,+E,873,913,,10.311,-13041.75,,,,,
CdBr2-CdCl2,30-70,+E,873,913,,10.805,-13818.73,,,,,
CdBr2-CdCl2,40-60,+E,873,913,,11.363,-14601.57,,,,,
CdBr2-CdCl2,50-50,+E,873,913,,13.945,-16530.84,,,,,
CdBr2-CdCl2,60-40,+E,873,913,,14.963,-17460.54,,,,,
CdBr2-CdCl2,70-30,+E,873,913,,22.356,-20817.84,,,,,
CdBr2-CdCl2,80-20,+E,873,913,,29.171,-23160.92,,,,,
CdBr2-CdCl2,90-10,+E,873,913,,39.268,-25754.62,,,,,
CdBr2-CdCl2,100-0,+E,873,913,,44.674,-27086.83,,,,"For 100% CdBr2, the departures from the recommended data set are: 890 K, -5.6%, 910 K, +3.7%.",
CdBr2-KBr,20-80,+E,890,1020,,5.488,-11581.51,,,,,
CdBr2-KBr,30-70,+E,890,1020,,5.586,-12696.98,,,,,
CdBr2-KBr,37-63,+E,890,1020,,5.478,-12435.06,,,,,
CdBr2-KBr,47-53,+E,890,1020,,4.806,-11122.51,,,,,
CdBr2-KBr,57-43,+E,890,1020,,4.401,-9886.96,,,,,
CdBr2-KBr,74-26,+E,890,1020,,4.366,-9507.88,,,,,
CdBr2-KBr,88-12,+E,890,1020,,4.856,-10405.78,,,,,
CdBr2-KBr,100-0,+E,890,1020,,5.728,-11842.59,,,,"For 100% CdBr2, the departures from the recommended data set are: 890 K, -0.34%, 1020 K, +0.25%.",
CdBr2-NaBr,6-94,+E,980,1070,,5.337,-6385.31,,,,,
CdBr2-NaBr,22-78,+E,830,1020,,6.562,-8963.11,,,,,
CdBr2-NaBr,32-68,+E,830,1020,,6.311,-9069.39,,,,,
CdBr2-NaBr,37-63,+E,780,1020,,6.352,-9389.05,,,,,
CdBr2-NaBr,52-48,+E,780,1020,,5.751,-9132.57,,,,,
CdBr2-NaBr,61.5-38.5,+E,780,1020,,5.836,-9630.47,,,,,
CdBr2-NaBr,74-26,+E,830,1020,,5.285,-9458.51,,,,,
CdBr2-NaBr,87-13,+E,830,1020,,5.356,-10276.91,,,,,
CdBr2-NaBr,100-0,+E,850,1020,,5.728,-11842.59,,,,"For 100% CdBr2, the departures from the recommended data set are: 850 K, -0.54%, 1020 K, +0.25%.",
CdBr2-ZnCl2,0-100 CdBr2,I3,873,,,0.2385,0.00665,6.483E-5,-4.216E-7,,"For 100% CdBr2 and 100% ZnCl2 at 873 K, the departures from the recommended data sets are, respectively, +0.4% and -10%.",
CdCl2,100,+E,845,1082,1%,6.365,-8577.34,,,,,
CdCl2-CdI2,0-100,+E,680,965,,23.327,-26535.79,,,,"For 100% CdI2, the departures from the recommended data set are: 680 K, -0.35%, 960 K, +1.6%.",
CdCl2-CdI2,25.0-75.0,+E,650,965,,12.4012,-19960.11,,,,,
CdCl2-CdI2,50.0-50.0,+E,695,965,,9.2762,-15980.22,,,,,
CdCl2-CdI2,75.0-25.0,+E,785,965,,7.3685,-12478.15,,,,,
CdCl2-CdI2,100-0,+E,860,965,,6.9148,-9200.35,,,,"For 100% CdCl2, the departures from the recommended data set are: 870 K, -0.34%, 960 K, +0.50%.",
CdCl2-CsCl,50-50,+E,823,873,,240.83,-14255.96,,,,,
CdCl2-KCl,16.1-83.9,+E,970,990,,2097.4,-58749.78,,,,,
CdCl2-KCl,20.4-79.6,+E,920,990,,35.437,-25147.1,,,,,
CdCl2-KCl,25.2-74.8,+E,880,990,,7.732,-13161.41,,,,,
CdCl2-KCl,30.8-69.2,+E,850,990,,7.23,-12912.46,,,,,
CdCl2-KCl,33.5-66.5,+E,850,990,,7.263,-12902.84,,,,,
CdCl2-KCl,40.8-59.2,+E,850,990,,6.573,-12003.68,,,,,
CdCl2-KCl,46.0-54.0,+E,850,990,,6.424,-11593.22,,,,,
CdCl2-KCl,50.6-49.4,+E,850,990,,5.883,-10540.93,,,,,
CdCl2-KCl,60.6-39.4,+E,850,990,,6.448,-10551.81,,,,,
CdCl2-KCl,67.6-32.4,+E,850,990,,6.969,-10778.16,,,,,
CdCl2-KCl,71.0-29.0,+E,850,990,,7.305,-10993.23,,,,,
CdCl2-KCl,79.7-20.3,+E,850,990,,7.824,-11081.09,,,,,
CdCl2-KCl,90.5-9.5,+E,850,990,,7.665,-10478.58,,,,,
CdCl2-KCl,100-0,+E,850,990,,6.724,-9001.61,,,,"For 100% CdCl2, the departures from the recommended data set are: 870 K, -0.34%, 960 K, +0.18%.",
CdCl2-LiCl,0-100,+E,900,1020,,12.6,-5606.65,,,,"For 100% LiCl, the departures from the recommended data set are: 900 K, +2.4%,1020 K, +1.7%.",
CdCl2-LiCl,25.0-75.0,+E,850,1020,,11.3,-7740.53,,,,,
CdCl2-LiCl,50.0-50.0,+E,810,1020,,10.3,-9037.59,,,,,
CdCl2-LiCl,75.0-25.0,+E,800,1020,,9.09,-9497.84,,,,,
CdCl2-LiCl,100-0,+E,860,1020,,6.915,-9199.93,,,,"For 100% CdCl2, the departures from the recommended data set are: 870 K, -0.34%, 1020 K, +0.95%.",
CdCl2-NaCl,40-60,+E,823,973,,8.234,-9799.09,,,,,
CdCl2-NaCl,50-50,+E,823,973,,7.896,-9571.06,,,,,
CdCl2-NaCl,60-40,+E,823,973,,8.367,-10046.79,,,,,
CdCl2-PbBr2,0-100 PbBr2,I4,873,,,5.351,0.008116,0.001597,-4.561E-5,2.209E-7,,Function produces value(s) below zero.
CdCl2-PbCl2,0.0-100.0,+E,775,790,,29.965,-19513.67,,,,"For 100% PbCl2, the departures from the recommended data set are: 775 K, -1.15%, 790 K, -0.32%.",
CdCl2-PbCl2,14.4-85.6,+E,755,790,,53.925,-22605.27,,,,,
CdCl2-PbCl2,27.5-72.5,+E,735,790,,33.885,-19360.95,,,,,
CdCl2-PbCl2,38.2-61.8,+E,735,790,,31.359,-18620.79,,,,,
CdCl2-PbCl2,50.3-49.7,+E,735,790,,22.671,-16795.69,,,,,
CdCl2-PbCl2,60.3-39.7,+E,755,790,,28.062,-18318.28,,,,,
CdCl2-TlCl,0-100,+E,735,770,,11.348,-13553.04,,,,"For 100% TlCl, the departures from the recommended data set are: 730 K, +0.13%, 770 K, +1.58%.",
CdCl2-TlCl,25-75,+E,735,770,,7.845,-12315.39,,,,,
